"Story","Title","Result","Date","Stability","Duration (s)"
"Json place holder IT","When posting","SUCCESS","2021-12-13T13:30:27.173787+01:00[Europe/Berlin]","0.0","2.75"
"Json place holder IT","When there are many posts","SUCCESS","2021-12-13T13:30:29.928124+01:00[Europe/Berlin]","0.0","0.19"
"Report navigator IT","When tracing errors","SUCCESS","2021-12-13T13:29:49.320099+01:00[Europe/Berlin]","0.0","5.14"
"Neural net IT","Actor can see facts and error","SUCCESS","2021-12-13T13:29:56.144987+01:00[Europe/Berlin]","0.0","3.73"
"Neural net IT","Actor trains neural net","SUCCESS","2021-12-13T13:29:59.951338+01:00[Europe/Berlin]","0.0","4.23"
"Neural net IT","Actor can ask neural net","SUCCESS","2021-12-13T13:30:04.321319+01:00[Europe/Berlin]","0.0","6.73"
"Train simple neural net IT","Where one beneficial change should reduce the error","SUCCESS","2021-12-13T13:30:11.422395+01:00[Europe/Berlin]","0.0","0.15"
"Train simple neural net IT","Where conflicting facts find beneficial change","SUCCESS","2021-12-13T13:30:11.572408+01:00[Europe/Berlin]","0.0","0.03"
"Train simple neural net IT","Where small neural net is trained on single fact","SUCCESS","2021-12-13T13:30:11.603691+01:00[Europe/Berlin]","0.0","0.08"
"Train simple neural net IT","Where conflicting facts limit the decrease in error","SUCCESS","2021-12-13T13:30:11.683462+01:00[Europe/Berlin]","0.0","0.08"
"Linking neurons IT","The output of one neuron is used as input","SUCCESS","2021-12-13T13:30:12.067615+01:00[Europe/Berlin]","0.0","0.22"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-13T13:30:12.444506+01:00[Europe/Berlin]","0.0","14.13"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-13T13:30:26.573893+01:00[Europe/Berlin]","0.0","0.02"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-13T13:30:26.59141+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons accept input","SUCCESS","2021-12-13T13:30:26.764768+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Output from multiple inputs is taken into account","SUCCESS","2021-12-13T13:30:26.777037+01:00[Europe/Berlin]","0.0","0.04"
"Neuron IT","Neurons keep track of multiple inputs","SUCCESS","2021-12-13T13:30:26.821803+01:00[Europe/Berlin]","0.0","0.02"
"Neuron IT","Neurons send out value between zero and one","SUCCESS","2021-12-13T13:30:26.8393+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","When accepting an input the sigmoid function is applied and sent to the output","SUCCESS","2021-12-13T13:30:26.854913+01:00[Europe/Berlin]","0.0","0.17"
"Neuron IT","Neurons have bias","SUCCESS","2021-12-13T13:30:27.021316+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons have sigmoid function","SUCCESS","2021-12-13T13:30:27.028418+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-13T13:30:27.073112+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where two input and two output neurons are wired","SUCCESS","2021-12-13T13:30:27.092712+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where there are hidden layers wired","SUCCESS","2021-12-13T13:30:27.105405+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-13T13:30:27.116231+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-13T13:30:27.130631+01:00[Europe/Berlin]","0.0","0.01"
"Registration and login IT","Register some user","IGNORED","2021-12-13T13:30:30.155391+01:00[Europe/Berlin]","0.0","0.01"
"Game creation IT","When an authenticated game master creates a game","IGNORED","2021-12-13T13:30:30.181455+01:00[Europe/Berlin]","0.0","0.0"
"Game joing IT","When players join created game","IGNORED","2021-12-13T13:30:30.205919+01:00[Europe/Berlin]","0.0","0.01"
