"Story","Title","Result","Date","Stability","Duration (s)"
"Linking neurons IT","The output of one neuron is used as input","SUCCESS","2021-12-07T22:58:11.679863+01:00[Europe/Berlin]","0.0","0.06"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-07T22:58:11.769792+01:00[Europe/Berlin]","0.0","0.04"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-07T22:58:11.812636+01:00[Europe/Berlin]","0.0","0.01"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-07T22:58:11.826495+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons accept input","SUCCESS","2021-12-07T22:58:11.961791+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Output from multiple inputs is taken into account","SUCCESS","2021-12-07T22:58:11.971863+01:00[Europe/Berlin]","0.0","0.02"
"Neuron IT","Neurons keep track of multiple inputs","SUCCESS","2021-12-07T22:58:11.997295+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons send out value between zero and one","SUCCESS","2021-12-07T22:58:12.011905+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","When accepting an input the sigmoid function is applied and sent to the output","SUCCESS","2021-12-07T22:58:12.024264+01:00[Europe/Berlin]","0.0","0.15"
"Neuron IT","Neurons have bias","SUCCESS","2021-12-07T22:58:12.172323+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons have sigmoid function","SUCCESS","2021-12-07T22:58:12.179946+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-07T22:58:12.234602+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where two input and one output neurons are wired","SUCCESS","2021-12-07T22:58:12.253145+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-07T22:58:12.26424+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-07T22:58:12.277283+01:00[Europe/Berlin]","0.0","0.01"
