"Story","Title","Result","Date","Stability","Duration (s)"
"Train simple neural net IT","Where one beneficial change should reduce the error","SUCCESS","2021-12-16T23:13:47.311068+01:00[Europe/Berlin]","0.0","0.04"
"Train simple neural net IT","Where conflicting facts find beneficial change","SUCCESS","2021-12-16T23:13:47.355352+01:00[Europe/Berlin]","0.0","0.02"
"Train simple neural net IT","Where we keep track of the number of training rounds","SUCCESS","2021-12-16T23:13:47.371986+01:00[Europe/Berlin]","0.0","0.05"
"Train simple neural net IT","Where small neural net is trained on single fact","SUCCESS","2021-12-16T23:13:47.427743+01:00[Europe/Berlin]","0.0","0.02"
"Train simple neural net IT","Where conflicting facts limit the decrease in error","SUCCESS","2021-12-16T23:13:47.493612+01:00[Europe/Berlin]","0.0","0.03"
"Linking neurons IT","The output of one neuron is used as input","SUCCESS","2021-12-16T23:13:47.588012+01:00[Europe/Berlin]","0.0","0.07"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-16T23:13:47.687607+01:00[Europe/Berlin]","0.0","1.13"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-16T23:13:48.820844+01:00[Europe/Berlin]","0.0","0.44"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-16T23:13:49.257378+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons accept input","SUCCESS","2021-12-16T23:13:49.296993+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Output from multiple inputs is taken into account","SUCCESS","2021-12-16T23:13:49.306062+01:00[Europe/Berlin]","0.0","0.02"
"Neuron IT","Neurons keep track of multiple inputs","SUCCESS","2021-12-16T23:13:49.327913+01:00[Europe/Berlin]","0.0","0.02"
"Neuron IT","Neurons send out value between zero and one","SUCCESS","2021-12-16T23:13:49.347648+01:00[Europe/Berlin]","0.0","0.02"
"Neuron IT","When accepting an input the sigmoid function is applied and sent to the output","SUCCESS","2021-12-16T23:13:49.369272+01:00[Europe/Berlin]","0.0","0.17"
"Neuron IT","Neurons have bias","SUCCESS","2021-12-16T23:13:49.543515+01:00[Europe/Berlin]","0.0","0.01"
"Neuron IT","Neurons have sigmoid function","SUCCESS","2021-12-16T23:13:49.553062+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-16T23:13:49.602309+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where two input and two output neurons are wired","SUCCESS","2021-12-16T23:13:49.620802+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where there are hidden layers wired","SUCCESS","2021-12-16T23:13:49.633734+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-16T23:13:49.647606+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-16T23:13:49.664854+01:00[Europe/Berlin]","0.0","0.01"
"Comparing black white gray detecting neural networks IT","One hidden layer of six relu neurons","SUCCESS","2021-12-16T23:33:34.56106+01:00[Europe/Berlin]","0.0","19.42"
"Comparing black white gray detecting neural networks IT","Two hidden layers of four relu neurons each","SUCCESS","2021-12-16T23:34:28.160826+01:00[Europe/Berlin]","0.0","50.85"
"Comparing black white gray detecting neural networks IT","Two hidden layers of four sigmoid neurons each","SUCCESS","2021-12-16T23:35:19.010464+01:00[Europe/Berlin]","0.0","51.26"
